file	source_sha256	scope
environment/session_info/AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1_R_SESSION_INFO.txt	1449288613d9458e80488104334884301bbbfa035f32b96fbf651831bdbed514	Recorded R version and package versions; host details omitted
environment/session_info/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1_PYTHON_RUNTIME.json	3cf217ba060c16e44af3b5ba63053c3d93e1d1aa7d30a2e05a557f3840768a26	Recorded versions only
environment/session_info/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1_R_SESSION_INFO.txt	2c9f44e056ea4b9a46a7216c4cb3aa43ba27030d167bc5825c0e0a45d3665116	Recorded R version and package versions; host details omitted
environment/session_info/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1_PYTHON_RUNTIME.json	3cf217ba060c16e44af3b5ba63053c3d93e1d1aa7d30a2e05a557f3840768a26	Recorded versions only
environment/session_info/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1_R_SESSION_INFO.txt	2c9f44e056ea4b9a46a7216c4cb3aa43ba27030d167bc5825c0e0a45d3665116	Recorded R version and package versions; host details omitted
environment/session_info/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1_R_PHASEB_SESSION_INFO.txt	671b449f4a8cf995695eb5656137e54338567882774e4cc267e2d67ef82869b9	Recorded R version and package versions; host details omitted
environment/session_info/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1_R_SESSION_INFO.txt	1449288613d9458e80488104334884301bbbfa035f32b96fbf651831bdbed514	Recorded R version and package versions; host details omitted
environment/session_info/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1_R_SESSION_INFO.txt	671b449f4a8cf995695eb5656137e54338567882774e4cc267e2d67ef82869b9	Recorded R version and package versions; host details omitted
environment/session_info/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1_PYTHON_SESSION_INFO.json	efc7402517bac1d620f35a32cbac4930ef6499fe5c4eb11fe55e5fa7881c3974	Recorded versions only
environment/session_info/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1_R_SESSION_INFO.txt	392c21fc8e09ef9eab6fd4c2607718980a6cee442cb2659fec66567a887daebd	Recorded R version and package versions; host details omitted
environment/session_info/WU_AF35_SPATIAL_CELLULAR_MICROENV_CONTEXT_v1_PYTHON_SESSION_INFO.json	efc7402517bac1d620f35a32cbac4930ef6499fe5c4eb11fe55e5fa7881c3974	Recorded versions only
environment/session_info/WU_AF35_SPATIAL_CELLULAR_MICROENV_CONTEXT_v1_R_SESSION_INFO.txt	0beb9c470a1e2741faa12e0dcffa66937d01aef231441eddf897ff35fda24352	Recorded R version and package versions; host details omitted
