family	feature	label	state	n	mean	median	positive_patient_fraction	ci_low	ci_high	loo_min	loo_max	loo_same_direction_fraction	p_exact	bootstrap_draws	seed	inference_unit	status	q_BH_family
microenvironment	0.0	Tumor interface	Pre	10	0.0516968865833854	0.0160037887910106	0.8	0.0103012231772942	0.0983312070695982	0.0375197075913109	0.0596266667304089	1	0.02734375	20000	20260908	patient	ESTIMATED	0.173177083333333
microenvironment	0.1	Fibroblast interface	Pre	10	0.0266419050436778	0.0117187709080609	0.9	0.00906776638515879	0.0493773516279175	0.017550645419428	0.0296641726275746	1	0.00390625	20000	20260908	patient	ESTIMATED	0.07421875
microenvironment	1.0	T/Macrophage-rich stroma	Pre	10	-0.0390386514500937	-0.00138269258039734	0.5	-0.130411849825012	0.019510193747076	-0.0504558338990921	0.00224353862606159	0.9	0.56640625	20000	20260908	patient	ESTIMATED	0.896809895833333
microenvironment	1.2	IFN-γ activated stroma	Pre	10	-0.0122463204133048	-0.0025522000458842	0.2	-0.030320906948145	0.000362500794233127	-0.0150869057724231	-0.00429134248385308	1	0.15625	20000	20260908	patient	ESTIMATED	0.59375
microenvironment	2.0	Endothelial cell-rich tumor	Pre	10	0.00840554476641304	0.00241191275167785	0.5	-0.0104429561817235	0.0271210018133566	0.00260267922563733	0.0139538844585357	1	0.4375	20000	20260908	patient	ESTIMATED	0.83125
microenvironment	2.1	Non-specific tumor	Pre	10	0.00450065983223436	0.00165659256882353	0.6	-0.0147687343796997	0.0304750504241833	-0.00679516887581404	0.00886882998640059	0.9	0.845703125	20000	20260908	patient	ESTIMATED	1
microenvironment	2.2	Non-specific tumor	Pre	10	-0.00337183800697427	-0.000302582376100701	0.2	-0.0105143502051033	0.001063200376833	-0.00422651332573782	-7.08435922813639e-05	1	0.421875	20000	20260908	patient	ESTIMATED	0.83125
microenvironment	2.4	Non-specific tumor	Pre	10	0.00936421353287141	0	0.4	-0.00200420846671783	0.0272877120683022	0.00101545419874895	0.0115009879284391	1	0.34375	20000	20260908	patient	ESTIMATED	0.83125
microenvironment	2.5	Non-specific tumor	Pre	10	0.00351799583583541	0	0.2	-0.00352358886220551	0.0152101379065911	-0.00190611995205104	0.00503229736972547	0.9	0.9375	20000	20260908	patient	ESTIMATED	1
microenvironment	3	Lymphocyte-rich tumor	Pre	10	-0.00951683587806684	-0.00579907374561215	0.3	-0.0634790901091803	0.0469742634792245	-0.0305780068868927	0.010952967198518	0.9	0.6171875	20000	20260908	patient	ESTIMATED	0.902043269230769
microenvironment	4	Myeloid cell-rich tumor	Pre	10	-0.0537170823844363	-0.0195735953019048	0.2	-0.136910787851558	0.0183079542701131	-0.0742862266446759	-0.0205450331333696	1	0.255859375	20000	20260908	patient	ESTIMATED	0.810221354166667
microenvironment	5	Adjacent liver	Pre	10	-0.0239828466085008	-0.0127972247805512	0.2	-0.0428712926894145	-0.00730848372055513	-0.0270204634203327	-0.0181014693567104	1	0.04296875	20000	20260908	patient	ESTIMATED	0.2041015625
microenvironment	7.0	CD4 T-rich lymphoid aggregates	Pre	10	0.0451094330631804	0.0227302258451179	0.8	0.0131081238067392	0.0919399989021929	0.0240490399433106	0.0508206510834891	1	0.01171875	20000	20260908	patient	ESTIMATED	0.111328125
microenvironment	7.1	B-rich lymphoid aggregates	Pre	10	0.00385199768179126	0.000109385254867644	0.5	-0.00743720947729553	0.0186491865699418	-0.00250686499244217	0.00717190141215212	0.9	0.53125	20000	20260908	patient	ESTIMATED	0.896809895833333
microenvironment	6	[MINOR]6, Unknown, with CD8 T cells and dendritic cells(-)	Pre	10	-0.00935109923494066	0.000681043512045232	0.7	-0.0433344388782415	0.0234340870222432	-0.0171214781616805	0.00189247337424689	0.8	0.75	20000	20260908	patient	ESTIMATED	1
microenvironment	8	[MINOR]8	Pre	10	-0.00555139305980016	0	0.2	-0.0156027908186726	0.000177383592017738	-0.00626676095089892	-0.000642295289501519	1	0.375	20000	20260908	patient	ESTIMATED	0.83125
microenvironment	9	[MINOR]9	Pre	10	0.00373618740077517	0	0.1	-0.000121657227656804	0.0113302194299823	-4.50582324654828e-05	0.00419637756666012	0.9	1	20000	20260908	patient	ESTIMATED	1
microenvironment	10	[MINOR]10, Unknown & INFg (+)	Pre	10	0	0	0	0	0	0	0	1	1	20000	20260908	patient	ESTIMATED	1
microenvironment	11	[MINOR]11, Tumor INOS-/CAF, with INFg (+)	Pre	10	-4.87567040468064e-05	0	0	-0.000146270112140419	0	-5.41741156075627e-05	0	0.9	1	20000	20260908	patient	ESTIMATED	1
